url,word_count,sentence_count,flesch_reading_ease,top_keywords,embedding
https://www.cm-alliance.com/cybersecurity-blog,332,1,-310.56,cyber|cybersecurity|training|events|clients,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037957, 0.049075]"
https://www.varonis.com/blog/cybersecurity-tips,1722,1,-1693.69,varonis|data|access|security|app,"[0.0, 0.0, 0.019424, 0.0, 0.0, 0.0, 0.0, 0.225378, 0.0, 0.041911, 0.051041, 0.0, 0.0, 0.018556, 0.040818, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,1079,1,-1032.93,password|authentication|don|cyber|use,"[0.0, 0.0, 0.0, 0.026791, 0.0, 0.0, 0.0, 0.08135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.080373, 0.058933, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.cisa.gov/topics/cybersecurity-best-practices,834,1,-829.57,cisa|cybersecurity|cyber|practices|resilience,"[0.0, 0.0, 0.033181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://nordlayer.com/learn/network-security/basics/,2175,1,-2178.24,network|security|monitoring|devices|access,"[0.0, 0.0, 0.0, 0.008162, 0.0, 0.0, 0.0, 0.198267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008162, 0.026931, 0.0, 0.0, 0.0, 0.008347, 0.0]"
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,5024,1,-5072.1,security|network|cloud|access|islands,"[0.0, 0.0, 0.004754, 0.004542, 0.0, 0.0, 0.018739, 0.155143, 0.0, 0.005129, 0.012492, 0.0, 0.009083, 0.0, 0.00999, 0.0, 0.0, 0.0, 0.009289, 0.0]"
https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,1039,1,-1020.04,security|network|cisco|access|industrial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.138661, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,2055,1,-2042.01,security|network|data|cloud|encryption,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05201, 0.0, 0.13414, 0.0, 0.0, 0.0, 0.0, 0.013593, 0.0, 0.01495, 0.017973, 0.0, 0.0, 0.0, 0.0]"
https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,21524,1,-21824.43,security|network|sony|data|encryption,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.174475, 0.0, 0.009578, 0.0, 0.0, 0.0, 0.0, 0.057834, 0.0, 0.007878, 0.0, 0.0, 0.0]"
https://guardiandigital.com/resources/blog/guide-on-phishing,2024,1,-1993.65,phishing|attacks|email|protection|security,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030006, 0.011001, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://cofense.com/blog,178,1,-152.54,phishing|october|defense|cybersecurity|threat,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.connectwise.com/blog/phishing-prevention-tips,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.phriendlyphishing.com/blog,25,1,-1.28,phishing|awareness|copyright|conditions|date,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://inspiredelearning.com/blog/phishing-protection-checklist/,8,1,-2.21,launches|remotely|inspired|march|solution,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://en.wikipedia.org/wiki/SD-WAN,3296,1,-3301.98,wan|sd|retrieved|network|edit,"[0.0, 0.0, 0.024509, 0.003902, 0.0, 0.004977, 0.0, 0.029623, 0.0, 0.0, 0.0, 0.0, 0.011707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00516]"
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,651,1,-616.76,wan|sd|mpls|cloud|cisco,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,34,1,-24.25,wan|sd|demo|watch|secure,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.hpe.com/us/en/what-is/sd-wan.html,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://remotedesktop.google.com/,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://support.apple.com/guide/remote-desktop/welcome/mac,71,1,-27.28,computers|remotely|control|manage|screen,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://en.wikipedia.org/wiki/Remote_desktop_software,1984,1,-1982.9,remote|desktop|software|computer|retrieved,"[0.0, 0.0, 0.0, 0.016358, 0.0, 0.0, 0.0, 0.086924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.cloudflare.com/learning/access-management/what-is-ztna/,0,0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,56,1,-7.12,fortinet|ztna|access|watch|application,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.324353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14566, 0.0]"
https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,99,1,-71.4,access|network|ztna|perimeter|security,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.381911, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,1769,1,-1752.64,ztna|access|network|vpns|users,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.011184, 0.0, 0.372758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
